year,month,quarter,orders,revenue_usd,avg_order_value,avg_discount_pct,return_rate,unique_customers,new_customers
2020,1,Q1,266,35415.25,133.14,5.68,0.0,261,100
2020,2,Q1,268,34304.78,128.0,6.06,0.0,263,93
2020,3,Q1,258,32642.23,126.52,5.21,0.0,254,81
2020,4,Q2,281,34865.39,124.08,5.27,0.0,275,99
2020,5,Q2,286,38625.73,135.06,5.84,0.0,282,113
2020,6,Q2,258,31689.22,122.83,4.34,0.0,256,84
2020,7,Q3,266,31542.99,118.58,5.39,0.0,261,95
2020,8,Q3,289,35804.39,123.89,6.49,0.0,284,95
2020,9,Q3,241,34467.9,143.02,4.63,0.0,237,86
2020,10,Q4,269,31217.93,116.05,5.41,0.0,262,102
2020,11,Q4,279,36607.41,131.21,6.25,0.0,271,98
2020,12,Q4,303,39996.64,132.0,5.76,0.0,294,102
2021,1,Q1,281,31245.22,111.19,5.69,0.0,278,104
2021,2,Q1,257,30976.31,120.53,5.6,0.0,250,89
2021,3,Q1,292,36891.43,126.34,6.4,0.0,285,105
2021,4,Q2,245,30250.04,123.47,5.8,0.0,241,94
2021,5,Q2,266,34354.09,129.15,6.32,0.0,261,85
2021,6,Q2,266,32344.03,121.59,5.09,0.0,256,84
2021,7,Q3,275,33495.74,121.8,5.15,0.0,270,95
2021,8,Q3,267,33747.82,126.4,5.41,0.0,260,93
2021,9,Q3,263,30858.17,117.33,5.19,0.0,256,97
2021,10,Q4,284,33889.76,119.33,6.16,0.0,280,100
2021,11,Q4,260,31966.0,122.95,6.33,0.0,254,93
2021,12,Q4,304,39234.46,129.06,4.93,0.0,300,122
2022,1,Q1,290,35008.98,120.72,5.36,0.0,284,97
2022,2,Q1,237,25922.18,109.38,6.46,0.0,236,81
2022,3,Q1,260,31024.2,119.32,5.96,0.0,256,91
2022,4,Q2,265,35381.99,133.52,6.21,0.0,257,98
2022,5,Q2,254,32317.62,127.23,5.3,0.0,249,97
2022,6,Q2,270,39403.82,145.94,6.46,0.0,262,100
2022,7,Q3,263,31442.92,119.55,5.76,0.0,260,94
2022,8,Q3,277,35474.91,128.07,4.93,0.0,274,103
2022,9,Q3,273,33303.4,121.99,6.5,0.0,268,96
2022,10,Q4,307,39203.31,127.7,6.51,0.0,301,117
2022,11,Q4,272,36954.4,135.86,6.34,0.0,265,95
2022,12,Q4,281,34494.54,122.76,5.37,0.0,275,100
2023,1,Q1,284,38618.99,135.98,4.75,0.0,279,104
2023,2,Q1,259,32628.65,125.98,5.23,0.0,258,92
2023,3,Q1,264,34346.46,130.1,5.89,0.0,263,96
2023,4,Q2,283,36986.87,130.7,5.71,0.0,277,112
2023,5,Q2,280,39628.39,141.53,5.45,0.0,274,99
2023,6,Q2,275,34020.34,123.71,4.78,0.0,272,82
2023,7,Q3,263,33716.87,128.2,5.84,0.0,258,76
2023,8,Q3,261,31889.91,122.18,5.25,0.0,256,84
2023,9,Q3,257,33957.89,132.13,4.69,0.0,255,100
2023,10,Q4,290,39317.26,135.58,5.47,0.0,287,96
2023,11,Q4,265,34414.38,129.87,6.21,0.0,262,106
2023,12,Q4,272,32063.21,117.88,5.44,0.0,267,94
2024,1,Q1,276,31774.33,115.12,5.04,0.0,268,89
2024,2,Q1,271,32650.56,120.48,6.33,0.0,267,109
2024,3,Q1,301,38111.12,126.62,4.85,0.0,297,102
2024,4,Q2,295,33388.59,113.18,6.24,0.0,291,98
2024,5,Q2,260,29911.52,115.04,6.65,0.0,252,84
2024,6,Q2,264,31217.29,118.25,5.17,0.0,258,98
2024,7,Q3,286,33667.59,117.72,5.73,0.0,283,100
2024,8,Q3,258,31282.29,121.25,5.0,0.0,252,80
2024,9,Q3,293,36001.08,122.87,5.43,0.0,290,116
2024,10,Q4,285,31867.25,111.81,5.82,0.0,278,97
2024,11,Q4,260,34159.4,131.38,7.06,0.0,254,89
2024,12,Q4,263,31629.3,120.26,6.88,0.0,259,110
2025,1,Q1,255,32012.75,125.54,6.45,0.0,249,100
2025,2,Q1,255,29197.88,114.5,6.43,0.0,255,94
2025,3,Q1,302,38073.94,126.07,5.55,0.0,301,100
2025,4,Q2,264,31374.44,118.84,5.36,0.0,258,99
2025,5,Q2,287,36208.38,126.16,5.21,0.0,283,112
2025,6,Q2,306,40777.79,133.26,5.26,0.0,297,104
2025,7,Q3,269,41236.16,153.29,4.5,0.0,267,96
2025,8,Q3,290,34388.76,118.58,5.31,0.0,286,104
2025,9,Q3,264,34675.45,131.35,5.02,0.0,258,110
2025,10,Q4,287,39940.71,139.17,5.38,0.0,282,107
2025,11,Q4,240,28149.83,117.29,5.0,0.0,240,80
2025,12,Q4,304,39321.84,129.35,5.64,0.0,298,107
2026,1,Q1,316,44793.18,141.75,5.62,0.0,309,100
2026,2,Q1,254,38488.48,151.53,5.59,0.0,251,87
2026,3,Q1,266,32872.17,123.58,5.68,0.0,261,93
