category,product_name,total_orders,total_revenue_usd,avg_price,avg_rating,return_rate,avg_discount_pct,avg_delivery_days
Automotive,Air Freshener,87,10543.38,73.61,3.95,7.0,4.54,4.66
Automotive,Car Phone Mount,86,10950.18,73.82,3.99,12.0,5.76,4.08
Automotive,Car Vacuum Cleaner,73,8588.32,71.15,4.11,7.0,7.53,4.38
Automotive,Dashcam 4K,79,9402.79,68.25,4.06,6.0,4.18,4.2
Automotive,Jump Starter Pack,68,8338.79,78.06,4.0,10.0,4.63,4.03
Automotive,Seat Covers Universal,67,8436.91,65.08,3.92,9.0,4.4,4.24
Automotive,Steering Wheel Cover,73,8197.79,64.02,3.97,11.0,7.47,4.11
Automotive,Tire Inflator,64,7845.98,66.38,4.11,8.0,5.55,4.16
Automotive,USB Car Charger,69,8572.56,70.09,4.02,7.0,5.36,4.29
Automotive,Windshield Cleaner,54,7873.24,71.74,3.99,9.0,4.07,3.94
Beauty & Personal Care,Electric Toothbrush,148,9800.96,32.39,4.02,11.0,5.27,4.17
Beauty & Personal Care,Face Wash Gel,178,11015.82,31.36,3.91,10.0,4.35,4.07
Beauty & Personal Care,Hair Dryer Pro,155,10357.94,33.95,4.02,7.0,4.74,4.62
Beauty & Personal Care,Hyaluronic Acid Moisturizer,172,10072.78,31.92,3.95,7.0,6.25,3.7
Beauty & Personal Care,Lip Balm Set,157,9129.76,30.45,4.08,9.0,5.7,4.0
Beauty & Personal Care,Nail Kit,141,7194.81,30.44,4.05,6.0,5.92,4.16
Beauty & Personal Care,Perfume Floral,156,9236.07,31.73,3.99,8.0,5.13,4.15
Beauty & Personal Care,Shampoo Argan Oil,169,10339.54,32.9,4.0,8.0,6.01,4.23
Beauty & Personal Care,Sunscreen SPF50,157,9068.98,29.83,3.98,6.0,4.68,3.88
Beauty & Personal Care,Vitamin C Serum,167,10258.88,32.26,3.96,9.0,5.9,3.86
Books,Atomic Habits,179,8414.57,25.25,3.95,9.0,6.48,4.06
Books,Clean Code,178,8112.6,26.19,3.94,6.0,6.32,4.15
Books,Deep Work,189,8837.01,26.02,3.97,6.0,5.69,4.2
Books,Python Crash Course,193,9076.18,25.1,4.07,10.0,5.31,4.04
Books,System Design Interview,178,9714.21,27.19,4.02,7.0,5.59,4.25
Books,The Alchemist,188,9243.91,25.58,4.0,6.0,5.19,3.99
Books,The Lean Startup,163,8241.57,26.26,4.09,10.0,6.32,4.86
Books,The Pragmatic Programmer,178,8396.55,25.02,4.02,6.0,5.25,3.69
Books,Thinking Fast and Slow,203,10273.38,27.19,4.01,10.0,5.25,4.49
Books,Zero to One,199,10018.09,24.92,3.98,15.0,5.83,4.17
Clothing & Apparel,Casual Sneakers,347,38190.18,62.08,3.9,8.0,6.18,4.12
Clothing & Apparel,Classic White Tee,395,45309.64,61.24,4.03,7.0,5.41,4.32
Clothing & Apparel,Formal Dress Shirt,388,44926.5,63.48,4.02,7.0,6.88,4.17
Clothing & Apparel,Hoodie Pullover,357,39357.54,58.39,4.04,10.0,6.65,4.3
Clothing & Apparel,Leather Belt,377,41344.3,62.23,4.06,7.0,5.54,4.26
Clothing & Apparel,Running Shoes,379,39912.65,59.41,4.02,8.0,5.49,4.2
Clothing & Apparel,Slim Fit Jeans,384,44074.6,60.28,3.98,9.0,5.69,4.07
Clothing & Apparel,Sports Socks 6-Pack,389,45603.36,60.77,4.06,7.0,5.44,4.22
Clothing & Apparel,Winter Jacket,376,44997.8,59.53,4.06,8.0,5.09,4.47
Clothing & Apparel,Yoga Pants,356,40466.25,59.74,4.04,6.0,5.83,3.98
Electronics,Bluetooth Speaker,409,105491.08,140.99,4.03,9.0,5.28,4.07
Electronics,Gaming Mouse RGB,430,103015.45,138.95,3.99,10.0,4.94,4.23
Electronics,LED Desk Lamp,409,100458.36,135.44,4.01,8.0,5.48,4.18
Electronics,Mechanical Keyboard,411,105529.52,134.71,3.93,8.0,5.44,4.26
Electronics,Portable Charger 20000mAh,466,124113.88,141.33,3.96,7.0,6.13,4.34
Electronics,Smart Plug 4-Pack,448,107178.44,135.76,3.93,9.0,5.92,4.12
Electronics,Smart Watch Series 5,423,110620.64,135.64,3.99,10.0,5.73,4.09
Electronics,USB-C Hub,416,107686.96,143.34,4.02,8.0,4.95,4.12
Electronics,Webcam 4K,420,108639.64,138.99,4.05,8.0,5.9,4.1
Electronics,Wireless Earbuds Pro,424,109841.15,139.27,3.94,8.0,5.34,4.19
